vecino,dia
0,1
1,1
6,1
2,2
3,2
8,2
4,3
7,3
14,3
5,4
9,4
19,4
10,5
12,5
15,5
11,6
16,6
21,6
13,7
17,7
23,7
18,8
20,8
22,9
24,9
